City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
157,Umm Lajj,SA,89.19,clear sky,25.0213,37.2685,Moon light Furnished Units
159,Carrefour,HT,89.26,broken clouds,18.5411,-72.3992,Diquini Guest House
161,Bubaque,GW,79.03,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
162,Dasuya,IN,90.0,broken clouds,31.8183,75.6597,President Hotel
169,Boyuibe,BO,85.91,clear sky,-20.4167,-63.2833,Residencial Eluzai
175,Changping,CN,82.51,overcast clouds,40.2186,116.2197,Huachang Hotel
176,Wajima,JP,78.26,clear sky,37.4,136.9,Wajiima Onsen Yashio
177,Bahia Honda,CU,88.7,moderate rain,22.9036,-83.1592,Casa Gualberto - Deysi
178,Kankon,IN,80.4,broken clouds,15.0167,74.0167,Palolem Beach Resort
181,Tecoanapa,MX,86.34,overcast clouds,16.5167,-98.75,Hotel Manglares
182,Carutapera,BR,88.36,broken clouds,-1.195,-46.02,Lidera
184,Buchanan,LR,84.16,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
186,Cabo San Lucas,MX,94.17,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
192,Colares,PT,75.29,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
194,Pokhara,NP,75.11,overcast clouds,28.2333,83.9833,Butterfly Lodge
197,Novobessergenevka,RU,86.88,clear sky,47.1847,38.8462,Life inn
198,Bandarbeyla,SO,81.27,overcast clouds,9.4942,50.8122,JABIR HOTEL
199,Sibenik,HR,91.38,broken clouds,43.7272,15.9058,Hotel Jadran
200,Pedernales,DO,84.67,few clouds,18.0384,-71.744,Hotel Costa Marina
201,Manaus,BR,90.1,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
202,Mahajanga,MG,78.82,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
204,Sorong,ID,77.09,overcast clouds,-0.8833,131.25,waigo splash hotel
205,Saint George,US,88.43,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
207,Jamestown,US,82.29,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
213,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
218,Banes,CU,89.78,broken clouds,20.9625,-75.7186,Hostal Iván y yailet
220,San Patricio,US,91.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
223,Naze,JP,77.86,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
224,Laguna,US,95.65,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
226,Padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
227,Turayf,SA,98.85,clear sky,31.6725,38.6637,Turaif
229,Hamilton,US,89.74,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
231,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
232,Yarada,IN,84.52,mist,17.65,83.2667,Jeevan
233,Totness,SR,80.35,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
235,Douentza,ML,97.45,broken clouds,14.9951,-2.9517,Ogomono Doumbo
239,Batie,BF,84.47,overcast clouds,9.8833,-2.9167,Auberge SONDAR AFACI
243,Cayenne,GF,84.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
248,Lithakia,GR,85.59,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
253,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
254,Cicero Dantas,BR,80.94,broken clouds,-10.6,-38.3833,Hotel Beatriz
259,Guaraniacu,BR,76.06,few clouds,-25.1008,-52.8781,Dalla´s Hotel
261,Dicabisagan,PH,81.46,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
268,Dingle,PH,76.84,light rain,10.9995,122.6711,SEGAYA PROPERTY
