City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Waipawa,NZ,2021-07-24 20:13:43,-41.4122,175.5153,46.92,88,3,7.7
89,Kantunilkin,MX,2021-07-24 20:13:43,21.0917,-87.45,86.95,75,97,5.48
90,Sitka,US,2021-07-24 20:13:44,57.0531,-135.33,57.09,82,75,9.22
91,Elko,US,2021-07-24 20:13:44,41.0002,-115.5012,91.42,8,3,5.99
92,Pangnirtung,CA,2021-07-24 20:13:44,66.1451,-65.7125,49.86,63,100,10.04
93,Tyukalinsk,RU,2021-07-24 20:13:44,55.8732,72.1967,73.36,58,100,6.96
94,Fairbanks,US,2021-07-24 20:13:45,64.8378,-147.7164,61.14,89,40,11.5
95,Pilar,BR,2021-07-24 20:13:45,-9.5972,-35.9567,76.93,79,0,7.09
96,Palmer,US,2021-07-24 20:13:45,42.1584,-72.3287,84.99,41,4,3.2
97,Bathsheba,BB,2021-07-24 20:13:46,13.2167,-59.5167,86.61,70,20,10.36
98,Cockburn Town,TC,2021-07-24 20:13:46,21.4612,-71.1419,82.76,77,3,15.37
99,Castro,BR,2021-07-24 20:13:46,-24.7911,-50.0119,65.17,59,0,3.62
100,Tarko-Sale,RU,2021-07-24 20:13:46,64.9225,77.785,55.22,96,100,13.73
101,Yeppoon,AU,2021-07-24 20:13:47,-23.1333,150.7333,49.78,55,3,7.02
102,Sakakah,SA,2021-07-24 20:13:47,29.9697,40.2064,91.33,26,0,8.57
103,Miri,MY,2021-07-24 20:13:47,4.4148,114.0089,79.29,88,88,3.47
104,Sorong,ID,2021-07-24 20:13:47,-0.8833,131.25,76.53,87,100,12.17
105,Avarua,CK,2021-07-24 20:13:48,-21.2078,-159.775,77.05,69,32,9.22
106,Batagay-Alyta,RU,2021-07-24 20:12:15,67.8006,130.4114,57.33,79,27,4.81
107,Port Hedland,AU,2021-07-24 20:13:48,-20.3167,118.5667,57.25,77,10,0.0
108,Gatesville,US,2021-07-24 20:12:38,31.4352,-97.7439,98.31,39,1,10.36
109,Banda Aceh,ID,2021-07-24 20:13:48,5.5577,95.3222,80.51,73,100,11.95
110,Bambous Virieux,MU,2021-07-24 20:13:49,-20.3428,57.7575,67.21,79,31,9.66
111,Tupiza,BO,2021-07-24 20:09:17,-21.45,-65.7167,66.92,14,66,22.26
112,Kenai,US,2021-07-24 20:13:49,60.5544,-151.2583,59.09,92,90,11.5
113,Meulaboh,ID,2021-07-24 20:13:40,4.1363,96.1285,76.68,87,100,4.03
114,Bendigo,AU,2021-07-24 20:13:50,-36.7667,144.2833,37.85,66,37,1.01
115,Najran,SA,2021-07-24 20:13:50,17.4924,44.1277,86.02,37,80,7.61
116,Kortkeros,RU,2021-07-24 20:13:50,61.8106,51.5806,44.6,85,100,4.59
117,Bonavista,CA,2021-07-24 20:13:51,48.6499,-53.1147,59.86,80,68,9.17
118,Sept-Iles,CA,2021-07-24 20:13:51,50.2001,-66.3821,66.06,81,13,4.0
119,Broome,US,2021-07-24 20:13:51,42.2506,-75.833,82.02,57,1,1.01
120,Vila,PT,2021-07-24 20:13:51,42.0304,-8.1588,59.74,78,15,2.95
121,Poum,NC,2021-07-24 20:13:52,-20.2333,164.0167,71.76,82,7,7.31
122,Souillac,MU,2021-07-24 20:13:52,-20.5167,57.5167,67.35,82,20,7.61
123,Guerrero Negro,MX,2021-07-24 20:13:52,27.9769,-114.0611,78.67,59,100,12.5
124,Bodaybo,RU,2021-07-24 20:13:52,57.8506,114.1933,58.8,79,100,2.75
125,Lerwick,GB,2021-07-24 20:13:53,60.1545,-1.1494,57.2,79,94,8.23
